"Date","Price","Open","High","Low","Vol.","Change %"
"19-12-2017","33,836.74","33,732.08","33,862.07","33,666.62","21.23M","0.70%"
"18-12-2017","33,601.68","33,364.52","33,801.90","32,595.63","21.79M","0.41%"
"15-12-2017","33,462.97","33,456.02","33,621.96","33,405.82","24.90M","0.65%"
"14-12-2017","33,246.70","33,114.69","33,321.52","32,886.93","11.53M","0.59%"
"13-12-2017","33,053.04","33,229.73","33,404.26","32,988.82","25.29M","-0.53%"
"12-12-2017","33,227.99","33,426.59","33,458.41","33,179.75","8.46M","-0.68%"
"11-12-2017","33,455.79","33,317.72","33,535.97","33,313.17","12.44M","0.62%"
"08-12-2017","33,250.30","33,034.20","33,285.68","33,034.20","14.60M","0.91%"
"07-12-2017","32,949.21","32,615.05","32,992.45","32,598.12","9.79M","1.08%"
"06-12-2017","32,597.18","32,798.50","32,804.75","32,565.16","9.91M","-0.63%"
"05-12-2017","32,802.44","32,814.03","32,893.05","32,682.52","8.88M","-0.20%"
"04-12-2017","32,869.72","32,968.02","33,008.47","32,785.76","9.91M","0.11%"
"01-12-2017","32,832.94","33,247.66","33,300.81","32,797.78","9.52M","-0.95%"
"30-11-2017","33,149.35","33,542.50","33,576.20","33,108.72","7.64M","-1.35%"
"29-11-2017","33,602.76","33,664.27","33,728.81","33,553.12","6.82M","-0.05%"
"28-11-2017","33,618.59","33,726.65","33,770.15","33,576.65","8.26M","-0.31%"
"27-11-2017","33,724.44","33,640.51","33,745.17","33,540.46","9.16M","0.13%"
"24-11-2017","33,679.24","33,670.00","33,738.53","33,639.98","7.97M","0.27%"
"23-11-2017","33,588.08","33,575.91","33,670.19","33,468.30","7.25M","0.08%"
"22-11-2017","33,561.55","33,569.07","33,654.53","33,465.23","13.54M","0.25%"
"21-11-2017","33,478.35","33,438.28","33,625.05","33,437.61","15.31M","0.36%"
"20-11-2017","33,359.90","33,365.84","33,449.53","33,288.21","8.06M","0.05%"
"17-11-2017","33,342.80","33,388.47","33,520.82","33,278.91","11.55M","0.71%"
"16-11-2017","33,106.82","32,829.82","33,165.15","32,829.82","9.91M","1.06%"
"15-11-2017","32,760.44","32,944.94","32,944.94","32,683.59","11.55M","-0.55%"
"14-11-2017","32,941.87","32,990.03","33,126.55","32,907.11","12.43M","-0.28%"
"13-11-2017","33,033.56","33,397.41","33,417.30","32,999.98","18.83M","-0.84%"
"10-11-2017","33,314.56","33,235.75","33,380.42","33,108.09","21.92M","0.19%"
"09-11-2017","33,250.93","33,376.62","33,463.80","33,111.54","14.49M","0.10%"
"08-11-2017","33,218.81","33,417.35","33,484.70","33,157.68","291.82M","-0.46%"
"07-11-2017","33,370.76","33,781.01","33,865.95","33,341.82","16.77M","-1.07%"
"06-11-2017","33,731.19","33,710.15","33,848.42","33,582.38","13.53M","0.14%"
"03-11-2017","33,685.56","33,667.34","33,733.71","33,531.94","205.90M","0.33%"
"02-11-2017","33,573.22","33,615.84","33,657.57","33,527.00","12.84M","-0.08%"
"01-11-2017","33,600.27","33,344.23","33,651.52","33,340.62","14.63M","1.17%"
"31-10-2017","33,213.13","33,254.93","33,294.30","33,164.28","11.91M","-0.16%"
"30-10-2017","33,266.16","33,260.10","33,340.17","33,206.93","14.42M","0.33%"
"27-10-2017","33,157.22","33,228.32","33,286.51","33,109.41","18.92M","0.03%"
"26-10-2017","33,147.13","33,025.17","33,196.17","32,835.06","16.01M","0.32%"
"25-10-2017","33,042.50","32,995.28","33,117.33","32,804.60","30.82M","1.33%"
"24-10-2017","32,607.34","32,619.26","32,670.37","32,502.08","8.74M","0.31%"
"23-10-2017","32,506.72","32,411.86","32,614.89","32,312.74","8.65M","0.36%"
"19-10-2017","32,389.96","32,656.75","32,663.06","32,319.37","2.59M","-0.60%"
"18-10-2017","32,584.35","32,518.56","32,670.32","32,462.85","14.50M","-0.08%"
"17-10-2017","32,609.16","32,654.41","32,699.86","32,556.74","5.74M","-0.08%"
"16-10-2017","32,633.64","32,488.23","32,687.32","32,445.43","9.46M","0.62%"
"13-10-2017","32,432.69","32,247.74","32,508.59","32,247.74","15.97M","0.78%"
"12-10-2017","32,182.22","31,887.47","32,209.03","31,813.67","8.02M","1.09%"
"11-10-2017","31,833.99","31,975.59","32,098.46","31,769.40","8.87M","-0.28%"
"10-10-2017","31,924.41","31,910.82","31,994.77","31,896.90","7.37M","0.24%"
"09-10-2017","31,846.89","31,862.20","31,935.63","31,781.75","6.05M","0.10%"
"06-10-2017","31,814.22","31,633.34","31,844.28","31,632.81","8.59M","0.70%"
"05-10-2017","31,592.03","31,725.85","31,772.41","31,562.25","6.14M","-0.25%"
"04-10-2017","31,671.71","31,522.17","31,752.16","31,457.78","6.12M","0.55%"
"03-10-2017","31,497.38","31,537.81","31,615.28","31,440.48","7.30M","0.68%"
"29-09-2017","31,283.72","31,367.25","31,523.87","31,243.71","7.91M","0.00%"
"28-09-2017","31,282.48","31,216.36","31,340.91","31,081.83","8.56M","0.39%"
"27-09-2017","31,159.81","31,785.24","31,797.46","31,100.80","10.13M","-1.39%"
"26-09-2017","31,599.76","31,685.81","31,693.59","31,455.65","10.29M","-0.08%"
"25-09-2017","31,626.63","31,986.40","32,016.52","31,474.56","12.59M","-0.93%"
"22-09-2017","31,922.44","32,339.50","32,342.81","31,886.09","9.90M","-1.38%"
"21-09-2017","32,370.04","32,406.42","32,462.61","32,164.42","9.02M","-0.09%"
"20-09-2017","32,400.51","32,467.10","32,499.88","32,383.82","10.76M","-0.01%"
"19-09-2017","32,402.37","32,522.44","32,524.11","32,358.63","59.19M","-0.07%"
"18-09-2017","32,423.76","32,361.37","32,508.06","32,361.25","9.83M","0.47%"
"15-09-2017","32,272.61","32,207.63","32,356.11","32,138.38","9.23M","0.10%"
"14-09-2017","32,241.93","32,289.26","32,328.61","32,186.84","9.42M","0.17%"
"13-09-2017","32,186.41","32,188.95","32,348.30","32,126.77","9.16M","0.09%"
"12-09-2017","32,158.66","32,029.15","32,172.46","31,950.24","7.20M","0.87%"
"11-09-2017","31,882.16","31,798.31","31,952.87","31,797.89","9.05M","0.61%"
"08-09-2017","31,687.52","31,694.15","31,763.70","31,619.00","8.00M","0.08%"
"07-09-2017","31,662.74","31,738.74","31,814.96","31,620.44","10.50M","0.00%"
"06-09-2017","31,661.97","31,713.50","31,727.85","31,586.53","7.55M","-0.46%"
